kieu,span_train,span_dev,dung,sai_lan_kieu,thieu_sot_bien,thua_bia_ra,precision,recall,f1,trang_thai,nguyen_nhan,bi_lan_sang,vi_du_noi,vi_du_viet,vi_du_mo_hinh_lam_dung,vi_du_mo_hinh_lam_sai,vi_du_khac,f1_dev_tong_hop,span_dev_tong_hop,f1_truoc,thay_doi,span_train_truoc,viec_can_lam
CALLSIGN,838,7,5,2,0,0,0.833,0.714,0.769,ĐẠT,lẫn kiểu,ACRONYM:2,ba vê hát a,3VHA,ba vê hát a; ba vê hát a,ba vê hát a -> đoán ACRONYM; bốn bê quy cê -> đoán ACRONYM,bốn bê quy cê -> 4BQC; ba vê hát bê -> 3VHB; ba vê hát bê -> 3VHB; ba vê hát bê -> 3VHB; e rờ ba tám -> R38; vê không sáu -> V06; pê chín sáu -> P96; e rờ hai t,1.0,70,0.8,-0.031,838,lẫn kiểu — cần mẫu PHÂN BIỆT với ACRONYM
RANK,604,6,5,0,1,1,0.833,0.833,0.833,ĐẠT,sót biên,,trung tá,Trung tá,trung tá; trung tá,anh hùng (không khoanh ra),anh hùng -> Anh hùng; đại tá -> Đại tá; thiếu tướng -> Thiếu tướng; đại tá -> Đại tá; thiếu tướng -> Thiếu tướng; thiếu tướng -> Thiếu tướng; trung tướng -> Tru,,0,0.714,0.119,604,đạt — không cần thêm
SPEED,541,6,4,2,0,0,1.0,0.667,0.8,ĐẠT,lẫn kiểu,MEASURE:2,hai mươi lăm hải lý một giờ,25 kn,hai mươi lăm hải lý một giờ; hai mươi lăm hải lý một giờ,ba mươi lăm hải lý một giờ -> đoán MEASURE; mười hai hải lý một giờ -> đoán MEASURE,hai mươi ki lô mét một giờ -> 20 km/h; hai mươi hải lý một giờ -> 20 kn; ba mươi lăm hải lý một giờ -> 35 kn; mười hai hải lý một giờ -> 12 kn; mười lăm hải lý ,,0,0.667,0.133,541,đạt — không cần thêm
MONEY,529,6,6,0,0,2,0.75,1.0,0.857,ĐẠT,lẫn kiểu,,năm trăm nghìn đồng,500.000 đồng,năm trăm nghìn đồng; năm triệu đồng,(không có),năm triệu đồng -> 5.000.000 đồng; năm triệu đồng -> 5.000.000 đồng; mười hai tỷ đồng -> 12.000.000.000 đồng; một trăm triệu đồng -> 100.000.000 đồng; hai mươi t,,0,0.714,0.143,529,đạt — không cần thêm
DECIMAL,517,6,4,0,2,1,0.8,0.667,0.727,ĐẠT,sót biên,,không phẩy ba mươi một,"0,31",không phẩy ba mươi một; không phẩy hai năm,mười hai phẩy tám (không khoanh ra); hai phẩy tám (không khoanh ra),"không phẩy hai năm -> 0,25; ba phẩy năm -> 3,5; mười hai phẩy tám -> 12,8; hai phẩy tám -> 2,8; bảy phẩy hai -> 7,2; không phẩy năm -> 0,5; mười hai phẩy bốn ->",,0,0.667,0.06,517,sót biên — cần câu dài/nhiều span hơn
QUARTER,1007,5,5,0,0,0,1.0,1.0,1.0,ĐẠT,lẫn kiểu,,quý bốn,Quý IV,quý bốn; quý bốn,(không có),quý hai -> Quý II; quý hai -> Quý II; quý một -> Quý I; quý một -> Quý I; quý hai -> Quý II; quý một -> Quý I; quý một -> Quý I; quý hai -> Quý II; quý một -> Q,1.0,150,1.0,0.0,1007,đạt — không cần thêm
EQUIPMENT_NAME,828,5,0,4,1,1,0.0,0.0,0.0,HỎNG (0 span đúng),lẫn kiểu,FOREIGN_NAME:4,qua sinh tơn,Washington,(không có),qua sinh tơn -> đoán FOREIGN_NAME; qua sinh tơn (không khoanh ra),mát cơ va -> Moscow; sing ga po -> Singapore; mát cơ va -> Moscow; leo ô pát -> Leopard; phi líp bin -> Philippines; ba tri ốt -> Patriot; pa tri ốt -> Patriot;,1.0,70,0.0,0.0,828,lẫn kiểu — cần mẫu PHÂN BIỆT với FOREIGN_NAME
ETD,525,5,5,0,0,0,1.0,1.0,1.0,ĐẠT,lẫn kiểu,,ê tê đê năm giờ mười,ETD 05:10,ê tê đê năm giờ mười; ê tê đê bảy giờ hai mươi,(không có),ê tê đê bảy giờ hai mươi -> ETD 07:20; ê tê đê mười bốn giờ bốn mươi -> ETD 14:40; ê tê đê hai mươi giờ bốn mươi lăm -> ETD 20:45; ê tê đê ba giờ hai mươi -> ET,,0,1.0,0.0,525,đạt — không cần thêm
FOREIGN_NAME,1167,4,3,1,0,1,0.333,0.75,0.462,YẾU,lẫn kiểu,MARITIME_TERM:1,cam pu chia,Campuchia,cam pu chia; phi líp bin,oa sinh tơn -> đoán MARITIME_TERM,oa sinh tơn -> Washington; phi líp bin -> Philippines; star link -> Starlink; tô ma hốc -> Tomahawk; hạc pun -> Harpoon; ha bun -> Harpoon; phi líp bin -> Phili,0.986,140,0.533,-0.071,1167,lẫn kiểu — cần mẫu PHÂN BIỆT với MARITIME_TERM
DISTANCE,861,4,3,1,0,0,0.75,0.75,0.75,ĐẠT,lẫn kiểu,MEASURE:1,mười hai hải lý,12 NM,mười hai hải lý; mười hai hải lý,hai mươi ki lô mét -> đoán MEASURE,hai mươi ki lô mét -> 20 km; năm hải lý -> 5 NM; năm hải lý -> 5 NM; mười hải lý -> 10 NM; mười lăm hải lý -> 15 NM; mười lăm hải lý -> 15 NM; hai mươi hải lý -,1.0,80,0.75,0.0,861,lẫn kiểu — cần mẫu PHÂN BIỆT với MEASURE
VERSION,574,4,4,0,0,0,0.8,1.0,0.889,ĐẠT,lẫn kiểu,,phiên bản bốn chấm không,4.0,phiên bản bốn chấm không; phiên bản năm chấm không chấm một,(không có),phiên bản năm chấm không chấm một -> 5.0.1; phiên bản một chấm năm chấm hai -> 1.5.2; phiên bản ba chấm không -> 3.0; phiên bản một chấm năm -> 1.5; phiên bản b,,0,0.889,0.0,574,đạt — không cần thêm
CHANNEL,539,4,4,0,0,0,1.0,1.0,1.0,ĐẠT,lẫn kiểu,,kênh một,kênh 1,kênh một; kênh mười sáu,(không có),kênh mười sáu -> kênh 16; kênh mười hai -> kênh 12; kênh mười hai -> kênh 12; kênh hai mươi -> kênh 20; kênh mười một -> kênh 11; kênh mười một -> kênh 11; kênh,,0,1.0,0.0,539,đạt — không cần thêm
HEADING,1177,3,3,0,0,0,1.0,1.0,1.0,ĐẠT,lẫn kiểu,,không bốn lăm,045°,không bốn lăm; hai không không,(không có),hai không không -> 200°; không một hai -> 012°; không tám năm -> 085°; một hai không -> 120°; không một hai -> 012°; ba mươi -> 030°; không một tám -> 018°; khô,1.0,285,0.0,1.0,1177,đạt — không cần thêm
DRAFT,1136,3,3,0,0,0,1.0,1.0,1.0,ĐẠT,lẫn kiểu,,chín phẩy năm mét,"9,5 m",chín phẩy năm mét; sáu phẩy tám mét,(không có),"sáu phẩy tám mét -> 6,8 m; mười một phẩy năm mét -> 11,5 m; tám phẩy năm mét -> 8,5 m; mười một phẩy năm mét -> 11,5 m; tám phẩy năm mét -> 8,5 m; mười một phẩy",1.0,285,0.0,1.0,1136,đạt — không cần thêm
MMSI_ID,1084,3,3,0,0,0,1.0,1.0,1.0,ĐẠT,lẫn kiểu,,bốn bốn không một hai ba bốn năm sáu,440123456,bốn bốn không một hai ba bốn năm sáu; năm bốn ba hai một không chín tám bảy,(không có),năm bốn ba hai một không chín tám bảy -> 543210987; năm hai năm một hai ba bốn năm sáu -> 525123456; năm không năm một hai ba bốn năm sáu -> 505123456; hai ba b,1.0,315,0.667,0.333,1084,đạt — không cần thêm
DURATION,1048,3,3,0,0,0,1.0,1.0,1.0,ĐẠT,lẫn kiểu,,sáu giờ mười lăm phút,6 giờ 15 phút,sáu giờ mười lăm phút; ba giờ bốn mươi lăm phút,(không có),ba giờ bốn mươi lăm phút -> 3 giờ 45 phút; bốn giờ bốn mươi lăm phút -> 4 giờ 45 phút; ba giờ bốn mươi phút -> 3 giờ 40 phút; mười hai giờ mười lăm phút -> 12 g,1.0,290,0.0,1.0,1048,đạt — không cần thêm
ORDINAL,985,3,3,0,0,4,0.429,1.0,0.6,ĐẠT,lẫn kiểu,,thứ hai,thứ 2,thứ hai; thứ hai mươi,(không có),thứ hai mươi -> thứ 20; thứ nhất -> thứ 1; số một -> số 1; thứ nhất -> thứ 1; thứ nhất -> thứ 1; thứ nhất -> thứ 1; thứ nhất -> thứ 1; thứ nhất -> thứ 1; thứ nh,1.0,231,0.5,0.1,985,sót biên — cần câu dài/nhiều span hơn
TELEPHONE,872,3,3,0,0,0,1.0,1.0,1.0,ĐẠT,lẫn kiểu,,không chín một hai ba bốn năm sáu bảy tám chín,09123456789,không chín một hai ba bốn năm sáu bảy tám chín; không chín một hai ba bốn năm sáu bảy tám,(không có),không chín một hai ba bốn năm sáu bảy tám -> 0912345678; không chín không tám một hai ba bốn năm sáu -> 0908123456; không chín không tám một hai ba bốn năm sáu ,1.0,227,0.0,1.0,872,đạt — không cần thêm
DOCUMENT_ID,21,3,3,0,0,0,1.0,1.0,1.0,ĐẠT,lẫn kiểu,,số mười một xẹt hai không hai hai,Số 11/2022,số mười một xẹt hai không hai hai; số mười một xẹt hai không hai hai,(không có),số mười hai xẹt hai không hai tư -> Số 12/2024; số mười hai xẹt hai không hai tư -> Số 12/2024; số mười hai xẹt hai không hai tư -> Số 12/2024; số mười hai xẹt ,,0,1.0,0.0,21,đạt — không cần thêm
ETA,18,3,3,0,0,0,1.0,1.0,1.0,ĐẠT,thiếu dữ liệu train,,ê tê a mười giờ mười lăm,ETA 10:15,ê tê a mười giờ mười lăm; ê tê a mười giờ mười lăm,(không có),ê tê a mười chín giờ ba mươi -> ETA 19:30; ê tê a mười bốn giờ năm mươi -> ETA 14:50; ê tê a mười bốn giờ ba mươi -> ETA 14:30; ê tê a mười một giờ ba mươi -> E,,0,1.0,0.0,18,đạt — không cần thêm
BEARING,1127,2,2,0,0,0,1.0,1.0,1.0,ĐẠT,lẫn kiểu,,không chín mươi,090°,không chín mươi; hai hai năm,(không có),hai hai năm -> 225°; hai trăm ba mươi độ -> 230°; không chín năm -> 095°; không chín năm -> 095°; hai ba năm -> 235°; ba một năm -> 315°; hai một năm -> 215°; h,1.0,283,0.0,1.0,1127,đạt — không cần thêm
DEPTH,1089,2,1,1,0,0,0.5,0.5,0.5,ĐẠT,lẫn kiểu,MEASURE:1,mười lăm mét,15 m,mười lăm mét,ba mươi hai mét -> đoán MEASURE,ba mươi hai mét -> 32 m; mười tám mét -> 18 m; mười tám mét -> 18 m; mười tám mét -> 18 m; hai mươi lăm mét -> 25 m; mười hai mét -> 12 m; mười tám mét -> 18 m;,1.0,279,0.0,0.5,1089,lẫn kiểu — cần mẫu PHÂN BIỆT với MEASURE
RATIO,998,2,2,0,0,0,1.0,1.0,1.0,ĐẠT,lẫn kiểu,,một trên năm trăm,1:500,một trên năm trăm; một trên một trăm,(không có),một trên một trăm -> 1:100; một trên năm mươi -> 1:50; một trên ba -> 1:3; một trên năm mươi -> 1:50; một trên ba -> 1:3; một trên năm mươi -> 1:50; một trên ba,1.0,288,0.0,1.0,998,đạt — không cần thêm
MARITIME_TERM,919,2,2,0,0,1,0.5,1.0,0.667,ĐẠT,lẫn kiểu,,phun a hét,Full ahead,phun a hét; phun a hét,(không có),sê cu ri tê -> SECURITE; đét slâu a hét -> Dead slow ahead; đét slâu a hét -> Dead slow ahead; mê day -> MAYDAY; mê day -> MAYDAY; full át tơn -> Full astern; f,1.0,233,0.0,0.667,919,sót biên — cần câu dài/nhiều span hơn
COORD,18,2,2,0,0,0,1.0,1.0,1.0,ĐẠT,thiếu dữ liệu train,,mười sáu độ mười lăm phút bắc một trăm linh tám độ mười hai phút đông,16°15'E,mười sáu độ mười lăm phút bắc một trăm linh tám độ mười hai phút đông; tám độ mười hai phút bắc,(không có),tám độ mười hai phút bắc -> 8°12'N; mười bốn độ mười lăm phút bắc -> 14°15'N; tám độ mười hai phút bắc một trăm linh chín độ mười phút đông -> 8°12'E; tám độ mư,,0,1.0,0.0,18,đạt — không cần thêm
PERCENT,1043,1,1,0,0,0,1.0,1.0,1.0,ĐẠT,lẫn kiểu,,tám mươi phần trăm,80%,tám mươi phần trăm,(không có),chín mươi chín phần trăm -> 99%; chín mươi chín phần trăm -> 99%; chín mươi tám phần trăm -> 98%; chín mươi tám phần trăm -> 98%; mười lăm phần trăm -> 15%; mườ,1.0,261,0.0,1.0,1043,đạt — không cần thêm
VEHICLE_PLATE,877,1,1,0,0,0,1.0,1.0,1.0,ĐẠT,lẫn kiểu,,năm một a một hai ba bốn năm,51A-12345,năm một a một hai ba bốn năm,(không có),hai chín a một hai ba bốn năm -> 29A-12345; ba mươi a một hai ba bốn năm -> 30A-12345; ba mươi a một hai ba bốn năm -> 30A-12345; ba mươi a một hai ba bốn năm -,1.0,238,0.0,1.0,877,đạt — không cần thêm
RANGE,819,1,0,0,1,1,0.0,0.0,0.0,HỎNG (0 span đúng),sót biên,,hai đến năm,2-5,(không có),hai đến năm (không khoanh ra),từ năm đến mười -> 5-10; từ năm đến mười -> 5-10; từ năm đến mười -> 5-10; ba đến năm -> 3-5; ba đến năm -> 3-5; từ mười hai đến hai mươi bốn -> 12-24; từ năm đ,1.0,183,0.0,0.0,819,sót biên — cần câu dài/nhiều span hơn
ELECTRONIC,315,1,0,1,0,0,0.0,0.0,0.0,HỎNG (0 span đúng),lẫn kiểu,VERSION:1,mười chấm không chấm không chấm một,10.0.0.1,(không có),mười chấm không chấm không chấm một -> đoán VERSION,hai mươi sáu chấm một trăm mười hai chấm một trăm bảy mươi sáu chấm hai trăm lẻ chín -> 26.112.176.209; vê kép vê kép vê kép chấm dulieu chấm đơn vị chấm vê en ,,0,0.0,0.0,315,lẫn kiểu — cần mẫu PHÂN BIỆT với VERSION
TIMEZONE,27,1,0,0,1,1,0.0,0.0,0.0,HỎNG (0 span đúng),sót biên,,u tê xê cộng một,UTC+1,(không có),u tê xê cộng một (không khoanh ra),u tê xê cộng tám -> UTC+8; u tê xê cộng chín -> UTC+9; u tê xê cộng bảy -> UTC+7; u tê xê cộng bảy -> UTC+7; u tê xê cộng bảy -> UTC+7; u tê xê cộng bảy -> UTC+,,0,0.0,0.0,27,THÊM DỮ LIỆU (mới 27 mẫu train)
LEGAL_DOC_ID,15,1,1,0,0,0,1.0,1.0,1.0,ĐẠT,thiếu dữ liệu train,,số hai mươi xẹt hai không hai bốn nờ đê cê pê,Số 20/2024/NĐ-CP,số hai mươi xẹt hai không hai bốn nờ đê cê pê,(không có),số mười một xẹt hai không hai tư nờ đê cê pê -> Số 11/2024/NĐ-CP; số mười hai xẹt hai không hai tư nờ đê cê pê -> Số 12/2024/NĐ-CP; số mười hai xẹt hai không ha,,0,1.0,0.0,15,đạt — không cần thêm
FREQUENCY,12,1,1,0,0,0,1.0,1.0,1.0,ĐẠT,thiếu dữ liệu train,,một năm hai phẩy tám mê ga héc,"152,8 MHz",một năm hai phẩy tám mê ga héc,(không có),"một năm năm phẩy hai mê ga héc -> 155,2 MHz; một năm năm phẩy hai mê ga héc -> 155,2 MHz; một bốn ba phẩy hai mê ga héc -> 143,2 MHz; một bốn ba phẩy tám mê ga ",,0,1.0,0.0,12,đạt — không cần thêm
TIME,1060,0,0,0,0,0,0.0,0.0,0.0,KHÔNG CÓ SPAN TRONG DEV,,,hai mươi hai giờ mười lăm,22:15,(không có),(không có),mười bốn giờ ba mươi phút -> 14:30; hai mươi hai giờ -> 22:00; năm giờ mười lăm -> 05:15; năm giờ ba mươi phút -> 05:30; năm giờ ba mươi -> 05:30; năm giờ ba mư,1.0,352,0.0,0.0,1060,sót biên — cần câu dài/nhiều span hơn
PORT_CODE,944,0,0,0,0,0,0.0,0.0,0.0,KHÔNG CÓ SPAN TRONG DEV,,,vê en hát pê vê,VNHPV,(không có),(không có),vê en hát pê hát -> VNHPH; vê en hát pê hát -> VNHPH; vê en hát pê hát -> VNHPH; vê en hát pê hát -> VNHPH; vê en hát pê hát -> VNHPH; vê en hát pê hát -> VNHPH,1.0,348,0.0,0.0,944,sót biên — cần câu dài/nhiều span hơn
VESSEL_ID,900,0,0,0,0,0,0.0,0.0,0.0,KHÔNG CÓ SPAN TRONG DEV,,,vê en một hai ba,VN123,(không có),(không có),vê tê một năm một bảy -> VT1517; xê ét bê tám tám bốn năm -> CSB8845; bê pê một hai chín không -> BP1290; ca en sáu chín một -> KN691; vê tê một một không một -,1.0,317,0.0,0.0,900,sót biên — cần câu dài/nhiều span hơn
ADDRESS,787,0,0,0,0,0,0.0,0.0,0.0,KHÔNG CÓ SPAN TRONG DEV,,,số một trăm hai mươi đường trần hưng đạo,số 120 đường Trần Hưng Đạo,(không có),(không có),số mười hai đường lê lợi -> số 12 đường Lê Lợi; số mười hai đường lê lợi -> số 12 đường Lê Lợi; số mười hai đường lê lợi -> số 12 đường Lê Lợi; số mười hai đườn,1.0,312,0.0,0.0,787,sót biên — cần câu dài/nhiều span hơn
