kieu,span_train,span_dev,dung,sai_lan_kieu,thieu_sot_bien,thua_bia_ra,precision,recall,f1,trang_thai,nguyen_nhan,bi_lan_sang,vi_du_noi,vi_du_viet,vi_du_mo_hinh_lam_dung,vi_du_mo_hinh_lam_sai,vi_du_khac
CALLSIGN,1,7,0,7,0,0,0.0,0.0,0.0,HỎNG (0 span đúng),thiếu dữ liệu train,PERSON_NAME:7,ba vê hát a,3VHA,(không có),ba vê hát a -> đoán PERSON_NAME; ba vê hát a -> đoán PERSON_NAME,ba vê hát a; ba vê hát a
RANK,35,6,0,5,1,0,0.0,0.0,0.0,HỎNG (0 span đúng),lẫn kiểu,LOCATION_NAME:5,trung tá,Trung tá,(không có),trung tá -> đoán LOCATION_NAME; anh hùng (không khoanh ra),anh hùng; trung tá
MONEY,9,6,0,6,0,0,0.0,0.0,0.0,HỎNG (0 span đúng),thiếu dữ liệu train,PERSON_NAME:5; DATE:1,năm trăm nghìn đồng,500.000 đồng,(không có),năm trăm nghìn đồng -> đoán PERSON_NAME; năm triệu đồng -> đoán PERSON_NAME,năm triệu đồng; năm triệu đồng
SPEED,6,6,0,6,0,0,0.0,0.0,0.0,HỎNG (0 span đúng),thiếu dữ liệu train,DATE:5; O:1,hai mươi lăm hải lý một giờ,25 kn,(không có),hai mươi lăm hải lý một giờ -> đoán DATE; hai mươi lăm hải lý một giờ -> đoán DATE,hai mươi lăm hải lý một giờ; hai mươi ki lô mét một giờ
DECIMAL,5,6,0,5,1,0,0.0,0.0,0.0,HỎNG (0 span đúng),thiếu dữ liệu train,DATE:5,không phẩy ba mươi một,"0,31",(không có),không phẩy ba mươi một -> đoán DATE; không phẩy hai năm -> đoán DATE,không phẩy hai năm; ba phẩy năm
EQUIPMENT_NAME,6,5,0,5,0,0,0.0,0.0,0.0,HỎNG (0 span đúng),thiếu dữ liệu train,PERSON_NAME:5,qua sinh tơn,Washington,(không có),qua sinh tơn -> đoán PERSON_NAME; qua sinh tơn -> đoán PERSON_NAME,qua sinh tơn; mát cơ va
ETD,4,5,0,5,0,0,0.0,0.0,0.0,HỎNG (0 span đúng),thiếu dữ liệu train,DATE:5,ê tê đê năm giờ mười,ETD 05:10,(không có),ê tê đê năm giờ mười -> đoán DATE; ê tê đê bảy giờ hai mươi -> đoán DATE,ê tê đê bảy giờ hai mươi; ê tê đê mười bốn giờ bốn mươi
QUARTER,3,5,0,5,0,0,0.0,0.0,0.0,HỎNG (0 span đúng),thiếu dữ liệu train,PERSON_NAME:5,quý bốn,Quý IV,(không có),quý bốn -> đoán PERSON_NAME; quý bốn -> đoán PERSON_NAME,quý bốn; quý bốn
VERSION,13,4,0,4,0,0,0.0,0.0,0.0,HỎNG (0 span đúng),thiếu dữ liệu train,DATE:4,phiên bản bốn chấm không,4.0,(không có),phiên bản bốn chấm không -> đoán DATE; phiên bản năm chấm không chấm một -> đoán DATE,phiên bản năm chấm không chấm một; phiên bản một chấm năm chấm hai
FOREIGN_NAME,11,4,0,4,0,0,0.0,0.0,0.0,HỎNG (0 span đúng),thiếu dữ liệu train,PERSON_NAME:4,cam pu chia,Cambodia,(không có),cam pu chia -> đoán PERSON_NAME; oa sinh tơn -> đoán PERSON_NAME,oa sinh tơn; phi líp bin
DISTANCE,9,4,0,4,0,0,0.0,0.0,0.0,HỎNG (0 span đúng),thiếu dữ liệu train,PERSON_NAME:3; O:1,mười hai hải lý,12 NM,(không có),mười hai hải lý -> đoán PERSON_NAME; mười hai hải lý -> đoán PERSON_NAME,mười hai hải lý; hai mươi ki lô mét
CHANNEL,5,4,0,4,0,0,0.0,0.0,0.0,HỎNG (0 span đúng),thiếu dữ liệu train,PERSON_NAME:3; DATE:1,kênh một,kênh 1,(không có),kênh một -> đoán PERSON_NAME; kênh mười sáu -> đoán DATE,kênh mười sáu; kênh mười hai
ORDINAL,16,3,0,3,0,0,0.0,0.0,0.0,HỎNG (0 span đúng),thiếu dữ liệu train,PERSON_NAME:2; DATE:1,thứ hai,thứ 2,(không có),thứ hai -> đoán PERSON_NAME; thứ hai mươi -> đoán DATE,thứ hai mươi; thứ nhất
HEADING,9,3,0,3,0,0,0.0,0.0,0.0,HỎNG (0 span đúng),thiếu dữ liệu train,PERSON_NAME:2; DATE:1,không bốn lăm,045°,(không có),không bốn lăm -> đoán DATE; hai không không -> đoán PERSON_NAME,hai không không; không một hai
MMSI_ID,7,3,0,3,0,0,0.0,0.0,0.0,HỎNG (0 span đúng),thiếu dữ liệu train,DATE:3,bốn bốn không một hai ba bốn năm sáu,440123456,(không có),bốn bốn không một hai ba bốn năm sáu -> đoán DATE; năm bốn ba hai một không chín tám bảy -> đoán DATE,năm bốn ba hai một không chín tám bảy; năm hai năm một hai ba bốn năm sáu
DOCUMENT_ID,7,3,0,3,0,0,0.0,0.0,0.0,HỎNG (0 span đúng),thiếu dữ liệu train,DATE:3,số mười một xẹt hai không hai hai,Số 11/2022,(không có),số mười một xẹt hai không hai hai -> đoán DATE; số mười một xẹt hai không hai hai -> đoán DATE,số mười một xẹt hai không hai hai; số mười hai xẹt hai không hai tư
DURATION,6,3,0,3,0,0,0.0,0.0,0.0,HỎNG (0 span đúng),thiếu dữ liệu train,DATE:3,sáu giờ mười lăm phút,6 giờ 15 phút,(không có),sáu giờ mười lăm phút -> đoán DATE; ba giờ bốn mươi lăm phút -> đoán DATE,ba giờ bốn mươi lăm phút; bốn giờ bốn mươi lăm phút
ETA,6,3,0,3,0,0,0.0,0.0,0.0,HỎNG (0 span đúng),thiếu dữ liệu train,DATE:3,ê tê a mười giờ mười lăm,ETA 10:15,(không có),ê tê a mười giờ mười lăm -> đoán DATE; ê tê a mười giờ mười lăm -> đoán DATE,ê tê a mười giờ mười lăm; ê tê a mười chín giờ ba mươi
TELEPHONE,3,3,0,3,0,0,0.0,0.0,0.0,HỎNG (0 span đúng),thiếu dữ liệu train,DATE:3,không chín một hai ba bốn năm sáu bảy tám chín,09123456789,(không có),không chín một hai ba bốn năm sáu bảy tám chín -> đoán DATE; không chín một hai ba bốn năm sáu bảy tám -> đoán DATE,không chín một hai ba bốn năm sáu bảy tám; không chín không tám một hai ba bốn năm sáu
DRAFT,2,3,0,3,0,0,0.0,0.0,0.0,HỎNG (0 span đúng),thiếu dữ liệu train,DATE:3,chín phẩy năm mét,"9,5 m",(không có),chín phẩy năm mét -> đoán DATE; sáu phẩy tám mét -> đoán DATE,sáu phẩy tám mét; chín phẩy năm mét
MARITIME_TERM,11,2,0,2,0,0,0.0,0.0,0.0,HỎNG (0 span đúng),thiếu dữ liệu train,PERSON_NAME:2,phun a hét,Full ahead,(không có),phun a hét -> đoán PERSON_NAME; phun a hét -> đoán PERSON_NAME,phun a hét
COORD,6,2,0,2,0,0,0.0,0.0,0.0,HỎNG (0 span đúng),thiếu dữ liệu train,DATE:2,mười sáu độ mười lăm phút bắc một trăm linh tám độ mười hai phút đông,16°15'E,(không có),mười sáu độ mười lăm phút bắc một trăm linh tám độ mười hai phút đông -> đoán DATE; tám độ mười hai phút bắc -> đoán DATE,tám độ mười hai phút bắc
BEARING,6,2,0,2,0,0,0.0,0.0,0.0,HỎNG (0 span đúng),thiếu dữ liệu train,DATE:2,không chín mươi,090°,(không có),không chín mươi -> đoán DATE; hai hai năm -> đoán DATE,hai hai năm
DEPTH,5,2,0,2,0,0,0.0,0.0,0.0,HỎNG (0 span đúng),thiếu dữ liệu train,PERSON_NAME:1; DATE:1,mười lăm mét,15 m,(không có),mười lăm mét -> đoán PERSON_NAME; ba mươi hai mét -> đoán DATE,ba mươi hai mét
RATIO,2,2,0,2,0,0,0.0,0.0,0.0,HỎNG (0 span đúng),thiếu dữ liệu train,DATE:2,một trên năm trăm,1:500,(không có),một trên năm trăm -> đoán DATE; một trên một trăm -> đoán DATE,một trên một trăm
PERCENT,10,1,0,1,0,0,0.0,0.0,0.0,HỎNG (0 span đúng),thiếu dữ liệu train,DATE:1,tám mươi phần trăm,80%,(không có),tám mươi phần trăm -> đoán DATE,
TIMEZONE,9,1,0,0,1,0,0.0,0.0,0.0,HỎNG (0 span đúng),thiếu dữ liệu train,,u tê xê cộng một,UTC+1,(không có),u tê xê cộng một (không khoanh ra),
RANGE,8,1,0,0,1,0,0.0,0.0,0.0,HỎNG (0 span đúng),thiếu dữ liệu train,,hai đến năm,2-5,(không có),hai đến năm (không khoanh ra),
LEGAL_DOC_ID,5,1,0,1,0,0,0.0,0.0,0.0,HỎNG (0 span đúng),thiếu dữ liệu train,DATE:1,số hai mươi xẹt hai không hai bốn nờ đê cê pê,Số 20/2024/NĐ-CP,(không có),số hai mươi xẹt hai không hai bốn nờ đê cê pê -> đoán DATE,
VEHICLE_PLATE,5,1,0,1,0,0,0.0,0.0,0.0,HỎNG (0 span đúng),thiếu dữ liệu train,DATE:1,năm một a một hai ba bốn năm,51A-12345,(không có),năm một a một hai ba bốn năm -> đoán DATE,
FREQUENCY,4,1,0,1,0,0,0.0,0.0,0.0,HỎNG (0 span đúng),thiếu dữ liệu train,DATE:1,một năm hai phẩy tám mê ga héc,"152,8 MHz",(không có),một năm hai phẩy tám mê ga héc -> đoán DATE,
TIME,10,0,0,0,0,0,0.0,0.0,0.0,KHÔNG CÓ SPAN TRONG DEV,,,hai mươi hai giờ mười lăm,22:15,(không có),(không có),mười bốn giờ ba mươi phút; hai mươi hai giờ
PORT_CODE,8,0,0,0,0,0,0.0,0.0,0.0,KHÔNG CÓ SPAN TRONG DEV,,,vê en hát pê vê,VNHPV,(không có),(không có),vê en hát pê hát; vê en hát pê hát
ADDRESS,7,0,0,0,0,0,0.0,0.0,0.0,KHÔNG CÓ SPAN TRONG DEV,,,số một trăm hai mươi đường trần hưng đạo,Số 1 trăm 20 đường trần hưng đạo,(không có),(không có),số mười hai đường lê lợi; số mười hai đường lê lợi
VESSEL_ID,1,0,0,0,0,0,0.0,0.0,0.0,KHÔNG CÓ SPAN TRONG DEV,,,vê en một hai ba,VN123,(không có),(không có),
